Date,AAPL,AMZN,GOOGL,JPM,META,MSFT,NVDA,TSLA,UNH,XOM
2020-01-02,72.33389282226562,94.90049743652344,67.83251190185547,117.89920806884766,207.95382690429688,151.82957458496094,5.963804244995117,28.68400001525879,261.7021789550781,52.947044372558594
2020-01-03,71.6306381225586,93.74849700927734,67.4776611328125,116.34335327148438,206.85350036621094,149.93899536132812,5.86834716796875,29.534000396728516,259.0538024902344,52.521358489990234
2020-01-06,72.2013931274414,95.14399719238281,69.27620697021484,116.25082397460938,210.74929809570312,150.3265838623047,5.892955780029297,30.1026668548584,260.85223388671875,52.92464065551758
2020-01-07,71.8618392944336,95.34300231933594,69.14241027832031,114.2745132446289,211.20526123046875,148.9559326171875,5.964303016662598,31.270666122436523,259.27752685546875,52.49149703979492
2020-01-08,73.01780700683594,94.59850311279297,69.63453674316406,115.16593933105469,213.34649658203125,151.32855224609375,5.975488662719727,32.80933380126953,264.7441101074219,51.69990539550781
2020-01-09,74.56880187988281,95.05249786376953,70.36555480957031,115.58649444580078,216.39967346191406,153.21905517578125,6.04111385345459,32.089332580566406,263.2410583496094,52.09569549560547
2020-01-10,74.73736572265625,94.15799713134766,70.82001495361328,114.43426513671875,216.1617431640625,152.51014709472656,6.073429107666016,31.876667022705078,264.05523681640625,51.632694244384766
2020-01-13,76.33409881591797,94.56500244140625,71.36866760253906,115.3846206665039,219.97825622558594,154.34400939941406,6.2638468742370605,34.990665435791016,255.75238037109375,52.12557601928711
2020-01-14,75.3033218383789,93.47200012207031,70.90080261230469,116.73020935058594,217.15306091308594,153.2569122314453,6.1470112800598145,35.861331939697266,257.8907165527344,51.6775016784668
2020-01-15,74.98059844970703,93.10099792480469,71.3275375366211,114.98094940185547,219.22486877441406,154.24942016601562,6.104502201080322,34.56666564941406,265.2005310058594,51.59535217285156
2020-01-16,75.91984558105469,93.89700317382812,71.87071228027344,115.42667388916016,219.83949279785156,157.07579040527344,6.188027858734131,34.232666015625,269.0746154785156,51.39373016357422
2020-01-17,76.7603759765625,93.23600006103516,73.32579803466797,116.2255859375,220.2062225341797,157.95489501953125,6.196728229522705,34.03333282470703,267.0435485839844,51.199562072753906
2020-01-21,76.24014282226562,94.5999984741211,73.46112060546875,115.08184814453125,219.51231384277344,157.38772583007812,6.163416862487793,36.47999954223633,268.88677978515625,50.46770477294922
2020-01-22,76.51231384277344,94.37300109863281,73.54138946533203,114.94731140136719,219.3933868408203,156.63156127929688,6.217360496520996,37.97066879272461,268.9403381347656,50.17646408081055
2020-01-23,76.88079071044922,94.22899627685547,73.58201599121094,114.82958984375,217.84695434570312,157.59571838378906,6.285721778869629,38.14666748046875,267.9293212890625,49.86280822753906
2020-01-24,76.65921783447266,93.08200073242188,72.66417694091797,111.97854614257812,216.04281616210938,156.00762939453125,6.226557731628418,37.654666900634766,261.9795227050781,49.52674865722656
2020-01-27,74.405029296875,91.41699981689453,70.95731353759766,111.03666687011719,212.99951171875,153.39871215820312,5.971012592315674,37.201332092285156,254.1776123046875,48.34683609008789
2020-01-28,76.50990295410156,92.6624984741211,71.88756561279297,113.05506134033203,215.8941192626953,156.40467834472656,6.164163112640381,37.793331146240234,255.7703094482422,48.27962112426758
2020-01-29,78.1114273071289,92.9000015258789,72.19482421875,112.88685607910156,221.28675842285156,158.84344482421875,6.103755474090576,38.732666015625,253.11297607421875,47.87636184692383
2020-01-30,77.99824523925781,93.53399658203125,72.07341766357422,114.28292083740234,207.70599365234375,163.3240509033203,6.110467433929443,42.72066879272461,251.39515686035156,48.38418197631836
2020-01-31,74.53990936279297,100.43599700927734,71.00934600830078,111.31421661376953,200.15237426757812,160.91358947753906,5.877296447753906,43.371334075927734,243.7632598876953,46.390262603759766
2020-02-03,74.33518981933594,100.20999908447266,73.47844696044922,112.16361236572266,202.41250610351562,164.8365020751953,5.974245071411133,52.0,245.16798400878906,45.35224151611328
2020-02-04,76.78926849365234,102.4834976196289,71.63528442382812,113.77831268310547,208.00343322753906,170.26234436035156,6.143282413482666,59.137332916259766,251.26991271972656,44.784671783447266
2020-02-05,77.4154281616211,101.99349975585938,71.6670150756836,115.71259307861328,208.28099060058594,170.054443359375,6.233517169952393,48.97999954223633,264.59210205078125,46.84579849243164
2020-02-06,78.32096099853516,102.5114974975586,73.14986419677734,115.72943878173828,209.01454162597656,173.5802764892578,6.320273399353027,49.930667877197266,261.6663513183594,46.21104049682617
2020-02-07,77.25637817382812,103.96399688720703,73.30547332763672,115.35940551757812,210.48162841796875,173.8260498046875,6.254150867462158,49.871334075927734,258.76751708984375,45.904850006103516
2020-02-10,77.62329864501953,106.69550323486328,74.76998901367188,115.83879852294922,211.20526123046875,178.37277221679688,6.537041664123535,51.41866683959961,256.80816650390625,45.42005157470703
