,AAPL,AMZN,GOOGL,JPM,META,MSFT,NVDA,TSLA,UNH,XOM
2020-01-03,-0.009769910532202594,-0.012213314472679244,-0.005245009663106493,-0.013284329448726982,-0.005305254013304382,-0.012530158192081593,-0.01613555215016885,0.02920267893223429,-0.010171363908801787,-0.008072336028213448
2020-01-06,0.007936451926287044,0.014775871094842,0.026304916557037546,-0.0007956287027617207,0.018658451361239836,0.002581639342393731,0.004184680571632279,0.019071612174755247,0.006918321557605961,0.0076491120591326385
2020-01-07,-0.004713964223640624,0.002089436023074214,-0.0019332187566148981,-0.017146567696065044,0.0021611962812708345,-0.009159645169125657,0.012034501220160376,0.03806670586808656,-0.0060550730273271035,-0.00821783197155735
2020-01-08,0.01595796611949643,-0.007839287338238396,0.007092367115764219,0.007770474315171407,0.01008712585940158,0.01580280783219716,0.0018736757943375918,0.048032568493066904,0.020864716957468055,-0.015195243695106117
2020-01-09,0.021018871371554573,0.0047876954600311996,0.010443203315832901,0.003645080344406504,0.01420944950480883,0.012415314828089058,0.010922528739373874,-0.022189385476863444,-0.005693553182621489,0.007626373661551328
2020-01-10,0.002257963178577806,-0.009455156242405702,0.00643779267813993,-0.010018564835215432,-0.0011000996052911893,-0.004637498454803043,0.0053349649196168854,-0.006649355680979626,0.0030881275719071436,-0.00892724407099653
2020-01-13,0.02113956543943848,0.0043132627393767525,0.007717286102465712,0.008270520880857887,0.017501767719719934,0.011952806239825711,0.030871140337261776,0.09320702322102224,-0.0319485994235927,0.009500649558495005
2020-01-14,-0.013595494439649287,-0.011625527046359843,-0.006577190118971939,0.011594293717834048,-0.012926251401511565,-0.007068260317145494,-0.01882852005085218,0.024578286172624794,0.008326203731338853,-0.008633214616738001
2020-01-15,-0.00429485581859954,-0.003977024437111101,0.006000719749393622,-0.01509891185758314,0.009495546348569238,0.0064552256424024465,-0.006939428280847175,-0.03676981311758122,0.027950344660623138,-0.0015909219098453069
2020-01-16,0.012448727596625752,0.008513567549042408,0.007586368540888865,0.0038690129862191,0.002799700812450668,0.01815752657596123,0.013589870065004627,-0.00970946227670784,0.014502461505636846,-0.0039154104936706775
2020-01-17,0.011010448876388208,-0.007064556764163625,0.02004365622488878,0.006897538719093957,0.0016667805568980369,0.00558108741040917,0.0014050130915504854,-0.005839913304383257,-0.007576973688723852,-0.00378520502502401
2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
